1754 operas,Mx4rvcOKYJwpEbGdrcN5Y29ycA,Opera-CW
Iranian children,Mx4rvVjPMJwpEbGdrcN5Y29ycA,HumanChild
Seaside resorts in Mexico,Mx4rvx0OwZwpEbGdrcN5Y29ycA,Resort-Attraction
Italian rowers,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
Suicides by hanging in Alaska,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Churches in New Castle County, Delaware",Mx4rvVif_pwpEbGdrcN5Y29ycA,Church-Building
2007 Greek television series debuts,Mx4rvj_X65wpEbGdrcN5Y29ycA,TVSeriesProduct
Philadelphia Phillies coaches,Mx4rvVjlaJwpEbGdrcN5Y29ycA,SportsCoach
4-6-4 locomotives,Mx4rvZJQDJwpEbGdrcN5Y29ycA,TrainEngine
Neath F.C. players,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Named passenger trains of the Great Western Railway,Mx4rFoHIZEJPEdqAAACQJw5drg,RailwayTransportationDevice
"Mayors of Berkeley, California",Mx4rwQrzr5wpEbGdrcN5Y29ycA,Mayor
Stackridge albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Autism navigation boxes,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Corrals,Mx4rwPu5V5wpEbGdrcN5Y29ycA,Corral
Mosques in Manisa,Mx4rwJSZ7ZwpEbGdrcN5Y29ycA,Mosque-Building
Museums in Odessa Oblast,Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
Recipients of the Eino Leino Prize,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Channel 29 virtual TV stations in the United States,Mx4rwQCRppwpEbGdrcN5Y29ycA,TelevisionStation
"People from Chester, Vermont",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
935 deaths,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Children's museums in Arizona,Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
Basketball leagues in Ukraine,Mx4rvVjbp5wpEbGdrcN5Y29ycA,SportsLeague
Continuum mechanics,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Swedish Luciferians,Mx4rvVj4GZwpEbGdrcN5Y29ycA,ReligiousPerson
Magicians by nationality,Mx4rwQr5RpwpEbGdrcN5Y29ycA,Magician-Performer
"Defunct companies based in Tacoma, Washington",Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
Boris Grebenshchikov albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Mining museums in England,Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
"Mayors of Glendale, California",Mx4rwQrzr5wpEbGdrcN5Y29ycA,Mayor
Films directed by Lau Lauritzen Sr.,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Knights of the Order of the Falcon,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"People from Barth, Germany",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
1987 direct-to-video films,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
14th-century Genoese people,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Albums produced by Jaki Liebezeit,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Ambassadors of Nepal to the European Union,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
"Populated places in Warren County, New York",Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Census-designated places in Utah,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
People from Twickenham,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
