Jewish law and rituals,Mx4rvVjeRZwpEbGdrcN5Y29ycA,Ritual
Brooklyn-Manhattan Transit Corporation stations,Mx4rvc4epZwpEbGdrcN5Y29ycA,SubwayStation
Southern United States in fiction,Mx4rvVjk55wpEbGdrcN5Y29ycA,IndependentCountry
United States intelligence operations,Mx4rvhxFJZwpEbGdrcN5Y29ycA,MilitaryOperation
Earthquakes in Europe,Mx4rwQBYpZwpEbGdrcN5Y29ycA,Earthquake
Former populated places,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Polish punk rock groups,Mx4rvVij7ZwpEbGdrcN5Y29ycA,MusicPerformanceOrganization
1466 establishments,Mx4rFNOiCMvnEdaAAAACs0uFOQ,AdministrativeDepartment
780 establishments,Mx4rFNOiCMvnEdaAAAACs0uFOQ,AdministrativeDepartment
Units of luminous energy,Mx4rvViAqpwpEbGdrcN5Y29ycA,UnitOfMeasure
Turkish Nobel laureates,Mx4rwEJs2ZwpEbGdrcN5Y29ycA,NobelPrizeWinner
Luxembourgian rugby union teams,Mx4rHL5UpFx6EdaAAACgye-oRQ,FireTeam-MilitaryEchelon
Years in British Overseas Territories,Mx4rvVjyV5wpEbGdrcN5Y29ycA,CalendarYear
Croatian women,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
1916 elections in North America,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Politics of Rajasthan,Mx4rvx3ucJwpEbGdrcN5Y29ycA,Politics
Diamond mines in Botswana,Mx4rwPKlipwpEbGdrcN5Y29ycA,Mine-ExcavationFacility
Religious organizations established in the 1650s,Mx4rvVjbBJwpEbGdrcN5Y29ycA,ReligiousOrganization
Leadership elections in the Netherlands,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Oil refineries in the Netherlands,Mx4rvfrJZpwpEbGdrcN5Y29ycA,OilRefinery
Horses in the Olympics,Mx4rwQBg3ZwpEbGdrcN5Y29ycA,Horse
1789 elections in the United States,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Railroad museums in Wyoming,Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
Paris Métro stations in the 8th arrondissement of Paris,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
Windmills in Bedfordshire,Mx4rvVji-pwpEbGdrcN5Y29ycA,Windmill
The 411 songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
"Outdoor sculptures in Chicago, Illinois",Mx4rvVis2pwpEbGdrcN5Y29ycA,Sculpture
Recurring events established in 1900,Mx4rvVkAuZwpEbGdrcN5Y29ycA,RepeatedEventType
Underground mines in Wales,Mx4rwPKlipwpEbGdrcN5Y29ycA,Mine-ExcavationFacility
Rebecca Lynn Howard songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Swiss post-rock groups,Mx4rvVij7ZwpEbGdrcN5Y29ycA,MusicPerformanceOrganization
Jazz festivals in Australia,Mx4rvcE-CZwpEbGdrcN5Y29ycA,Festival
Executed Belgian women,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Staten Island Stapletons coaches,Mx4rvVjlaJwpEbGdrcN5Y29ycA,SportsCoach
Songs written by Jo Callis,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Transport disasters in 1845,Mx4rwP1YzJwpEbGdrcN5Y29ycA,DisasterEvent
Lil' Flip songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Sports competitions in Oman,Mx4rvVi_spwpEbGdrcN5Y29ycA,SportsFormalCompetition
Colombian civil utility aircraft,Mx4rvViuUJwpEbGdrcN5Y29ycA,AirTransportationDevice
Populated places in Son La Province,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Sunny Sweeney songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Populated places in Sweden by municipality,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
2nd-millennium establishments in Belgium,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Futsal competitions in Slovakia,Mx4rvViAGpwpEbGdrcN5Y29ycA,Competition
Sailing logos,Mx4rvVjblJwpEbGdrcN5Y29ycA,Logo
Transport disasters in 1742,Mx4rwP1YzJwpEbGdrcN5Y29ycA,DisasterEvent
2010s establishments in Spain,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Outdoor sculptures in Wyoming,Mx4rvVis2pwpEbGdrcN5Y29ycA,Sculpture
"Visitor attractions in Alfalfa County, Oklahoma",Mx4rwPfOMJwpEbGdrcN5Y29ycA,TouristAttraction
Meteorites found in Burkina Faso,Mx4rvsQMeZwpEbGdrcN5Y29ycA,Meteorite
"Townships in Fall River County, South Dakota",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
"Populated places in Dawson County, Georgia",Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Novels by Tom Cain,Mx4rvViJb5wpEbGdrcN5Y29ycA,Novel-CW
1960s establishments in Jordan,Mx4rFNOiCMvnEdaAAAACs0uFOQ,AdministrativeDepartment
1972 industrial disasters,Mx4rwP1YzJwpEbGdrcN5Y29ycA,DisasterEvent
Pig breeds originating in Armenia,Mx4rGwcsMFkIQdiMCLmJUEZ9IQ,DogTypeByBreed
Tongan legends,Mx4rv3xA-pwpEbGdrcN5Y29ycA,UrbanLegend
Takahashi Unions players,Mx4rvVkI5ZwpEbGdrcN5Y29ycA,BaseballPlayer
Defunct schools in the East Riding of Yorkshire,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Women in the Solomon Islands,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Songs written by Mavie Marcos,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
