i,L. T. F. Gamut,Mx4rvVjuapwpEbGdrcN5Y29ycA,Philosopher
v,La Salle College,Mx4rvViknpwpEbGdrcN5Y29ycA,SocialBeing
i,Mercedes-Benz 280,Mx4rwLzhaZwpEbGdrcN5Y29ycA,TransportationDevice-Vehicle
v,Cathal Ó Sándair,Mx4rwU0CYJwpEbGdrcN5Y29ycA,ScienceFictionWriter
v,Abbot Kinney,Mx4rvVj635wpEbGdrcN5Y29ycA,Executive
v,Crash B-Daman,Mx4rvj_X65wpEbGdrcN5Y29ycA,TVSeriesProduct
i,The Great History,Mx4rvVjKWpwpEbGdrcN5Y29ycA,Dictionary
v,Walter M. Chandler,Mx4rvVjLMJwpEbGdrcN5Y29ycA,Lawyer
i,Beattie Park Mound Group,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
i,KLGT,Mx4rwQCRppwpEbGdrcN5Y29ycA,TelevisionStation
i,German submarine U-134,Mx4rvVirIJwpEbGdrcN5Y29ycA,Ship
v,Auriel Andrew,Mx4rvVjiz5wpEbGdrcN5Y29ycA,Singer
v,Wayman C. McCreery,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
i,Squash at the Commonwealth Games,Mx4rvZTe2JwpEbGdrcN5Y29ycA,GameEvent
v,Guðmundur,Mx4rv0xsZ5wpEbGdrcN5Y29ycA,HumanGivenName
i,Alter Bridge discography,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
i,"George Brown, Class Clown",Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW
i,Cho-Den-O Series,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
i,J. Otto Schweizer,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
v,"Love, Elections & Chocolate",Mx4rvj_X65wpEbGdrcN5Y29ycA,TVSeriesProduct
i,HMS Fiona,Mx4rvVirIJwpEbGdrcN5Y29ycA,Ship
i,Athletics at the 2004 Summer Paralympics – Women's javelin throw F42–46,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
i,Swimming at the 2002 Asian Games – Men's 400 metre freestyle,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
v,Werner Knab,Mx4rvVjgBJwpEbGdrcN5Y29ycA,LawEnforcementOfficer
i,Taliban five,Mx4rvj5o8ZwpEbGdrcN5Y29ycA,Prisoner-Legal
v,TheOfficialBoard,Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
