American English,Mx4rvVizq5wpEbGdrcN5Y29ycA,LanguageDialect
Ann Widdecombe,Mx4rvVjntpwpEbGdrcN5Y29ycA,Politician
AOL Instant Messenger,Mx4rveR5tpwpEbGdrcN5Y29ycA,UserProgram
Arlo Guthrie,Mx4rwMRyTJwpEbGdrcN5Y29ycA,ActorInMovies
Badminton,Mx4rv49vb5wpEbGdrcN5Y29ycA,TeamSport
Blood,Mx4rvVjI8JwpEbGdrcN5Y29ycA,Blood
Book of Numbers,Mx4rvs6-dJwpEbGdrcN5Y29ycA,OldTestamentBook
Baghdad,Mx4rvVjylZwpEbGdrcN5Y29ycA,CapitalCityOfRegion
Council of Europe,Mx4rvcF1IpwpEbGdrcN5Y29ycA,InternationalOrganizationOfCountries
Connecticut,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Clitoris,Mx4rvVjr6ZwpEbGdrcN5Y29ycA,Clitoris
Cruise (automotive),Mx4rvtacVJwpEbGdrcN5Y29ycA,Cruise-Vacation
Dominoes,Mx4rvWQUQZwpEbGdrcN5Y29ycA,TableGame
Major depressive disorder,Mx4riQqkGkS3SjKyDgMdhMsm6Q,MajorDepressiveDisorder
Diocletian,Mx4rvVjdhJwpEbGdrcN5Y29ycA,Monarch-HeadOfState
Detroit (1920s NFL teams),Mx4rwI-jxJwpEbGdrcN5Y29ycA,MensSportsTeam
Embroidery,Mx4rvdgiqZwpEbGdrcN5Y29ycA,EmbroideryArtifact
MDMA,Mx4rwCTQWJwpEbGdrcN5Y29ycA,MDMA-TheStimulant
Fatty acid,Mx4rKvecjQAkRY6wAqkGkw-NOQ,FattyAcid
Frontline (U.S. TV series),Mx4rvj_X65wpEbGdrcN5Y29ycA,TVSeriesProduct
GNU Debugger,Mx4rvzmtx5wpEbGdrcN5Y29ycA,LocalProgram
Sequence,Mx4rvXgncpwpEbGdrcN5Y29ycA,CodingSequence-MolecularSegment
Killer whale,Mx4rvVjCW5wpEbGdrcN5Y29ycA,KillerWhale
Koi,Mx4rvVi76pwpEbGdrcN5Y29ycA,Carp
Union (Hungarian-German trade union council),Mx4rvVjkmJwpEbGdrcN5Y29ycA,County
Leonard Peltier,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Lake Eyre,Mx4rwQ5c_ZwpEbGdrcN5Y29ycA,FreshWaterLake
Morocco,Mx4rvo_7PJwpEbGdrcN5Y29ycA,MaghrebCountry
Mao Zedong,Mx4rvVjnc5wpEbGdrcN5Y29ycA,HeadOfState
Microscopium,Mx4rwPuslJwpEbGdrcN5Y29ycA,Constellation
Mousse,Mx4r4fJ30CcMEdaAAABQ2rksLw,Mousse
