i,Robert Byrd (artist),Mx4rwQryspwpEbGdrcN5Y29ycA,PublicOfficial
i,United Nations General Assembly,Mx4rvViNy5wpEbGdrcN5Y29ycA,PoliticalOrganization
v,Wolfenstein 3D,Mx4rwQHMdpwpEbGdrcN5Y29ycA,OpenSourceComputerProgram
i,Advocate,Mx4rvVj6l5wpEbGdrcN5Y29ycA,CourtesyTitle
i,Wandsworth,Mx4r6Ki-3KMNEdqAAAACs6hO_g,FirstOrderAdministrativeDivision
v,Graham Norton,Mx4rvVj_zZwpEbGdrcN5Y29ycA,Chef
i,Balance sheet,Mx4rdKkFlsdJQV6hebrHj6ucSg,EDGARSectionType-BalanceSheet
i,Pussy,Mx4rvVkErZwpEbGdrcN5Y29ycA,DomesticCat
v,Ghost (Dungeons & Dragons),Mx4rv4IgpZwpEbGdrcN5Y29ycA,Ghost
i,Wiktionary,Mx4rvi9EhJwpEbGdrcN5Y29ycA,UnversionedProgram
i,Kurgan,Mx4rwTpvCZwpEbGdrcN5Y29ycA,LandlockedGeopoliticalEntity
v,Aaron Sorkin,Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
i,Command (military formation),Mx4rvVjaxpwpEbGdrcN5Y29ycA,Command
v,National Forest (England),Mx4rOijOfMjtEduAAADggVbxzQ,NationalForest
v,Blackburn with Darwen,Mx4r6Ki-3KMNEdqAAAACs6hO_g,FirstOrderAdministrativeDivision
v,Amagasaki,Mx4rwPflcJwpEbGdrcN5Y29ycA,PortCity
v,David Wu,Mx4r7b1yNtViQdaRY_7u6rLtcg,Legislator
i,Magilligan,Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
i,Carla Bruni,Mx4rwQryspwpEbGdrcN5Y29ycA,PublicOfficial
i,Benihana,Mx4rvVjZ_ZwpEbGdrcN5Y29ycA,PubliclyHeldCorporation
i,Copernic,Mx4rwP3mbZwpEbGdrcN5Y29ycA,SearchEngine
v,Zimmer Holdings,Mx4r4EvD9AhxEduVMgDggVaqog,SP500-Corporation
v,Newtownhamilton,Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
i,Destruction Derby 2,Mx4rvi9EhJwpEbGdrcN5Y29ycA,UnversionedProgram
v,Uludere,Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
i,Physical address,Mx4rvVkKGJwpEbGdrcN5Y29ycA,Address-PhysicalLocationDesignator
v,Haina (Haida village),Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
v,Gospel (liturgy),Mx4r8ZzVts36EdmAAAACs6hRjg,Gospel
i,Hassanal Bolkiah,Mx8Ngh4rY_nOYBt-QdiS5seAT9e7DQ-qaHR0cDovL2RicGVkaWEub3JnL29udG9sb2d5L0JyaXRpc2hSb3lhbHR5,"[:ResourceWithURIFn, ""http://dbpedia.org/ontology/BritishRoyalty""]"
i,Kickboxing,Mx4rvWJmUpwpEbGdrcN5Y29ycA,KickboxingSportsEvent
