Chicago,Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
Rambutan,Mx4rvVjPdZwpEbGdrcN5Y29ycA,Tree-ThePlant
Stuart Kauffman,Mx4rvViaI5wpEbGdrcN5Y29ycA,Researcher
Vladimir Komarov,Mx4rf7HSZsSXQdiPL9pprDpTfQ,TestPilot
Piquet,Mx4rv0AdNJwpEbGdrcN5Y29ycA,TrickTakingCardGame
Southwood National Park,Mx4rwQwoLJwpEbGdrcN5Y29ycA,NationalPark
Harvey Washington Wiley,Mx4rvVjKrpwpEbGdrcN5Y29ycA,Chemist
"Warren, Arkansas",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
"Yuba City, California",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
"Beardstown, Illinois",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
"Alden, Kansas",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
"Arbutus, Maryland",Mx4rvVi4_pwpEbGdrcN5Y29ycA,Neighborhood
"Freeport, Michigan",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
"Tobacco Township, Michigan",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
"Rifton, New York",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
Älvkarleby Municipality,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
"Allegheny Township, Butler County, Pennsylvania",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
"Forks Township, Sullivan County, Pennsylvania",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
Shyam Selvadurai,Mx4rvVi18JwpEbGdrcN5Y29ycA,Novelist
Raoul Cédras,Mx4rwQr5eJwpEbGdrcN5Y29ycA,Leader
"Yōkaichiba, Chiba",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
Slax,Mx4rwUCtxpwpEbGdrcN5Y29ycA,LinuxOS
"Green Level, Wake County, North Carolina",Mx4rvVi4_pwpEbGdrcN5Y29ycA,Neighborhood
Asclepias,Mx4rvVjG4ZwpEbGdrcN5Y29ycA,Plant
Persekutuan Pengakap Malaysia,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Room to Grow,Mx4rvnewlpwpEbGdrcN5Y29ycA,TVShow-CW
Reykjanes,Mx4rvViPJpwpEbGdrcN5Y29ycA,Peninsula
Zeev Sternhell,Mx4rvVj7rpwpEbGdrcN5Y29ycA,Writer
Piero Soderini,Mx4r7u57yMbrEdmAAAACs6hRjg,Statesman
Manuel Mendes,Mx4rvVjp3ZwpEbGdrcN5Y29ycA,MusicalComposer
Eugene Burdick,Mx4rvVi18JwpEbGdrcN5Y29ycA,Novelist
Sarah Kernochan,Mx4rnkRB3KgPQdeHH4EES_o7Mw,Screenwriter
Saint Nino,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Geoff Crammond,Mx4rLfbcvPyfQdaFdslUdDTaEQ,GameDesigner
Augustus Ludlow,Mx4rvVjgBJwpEbGdrcN5Y29ycA,LawEnforcementOfficer
Electric Warrior,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Dodecatheon hendersonii,Mx4rvVjHa5wpEbGdrcN5Y29ycA,FloweringPlant
Livingston Taylor (album),Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Aaron Brooks (American football),Mx4rvViYiZwpEbGdrcN5Y29ycA,FootballQuarterback
Dangerous Moves,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Henry Fauntleroy,Mx4rshZ28GHNEdaAAACQJ5pZBw,Banker
Caroni Swamp,Mx4rvh8GOpwpEbGdrcN5Y29ycA,WetlandRegion
Pierrette Ringuette,Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-Hc2VuYXRvch4rvVii2ZwpEbGdrcN5Y29ycA-kMTMyM2Y4ZWMtMTdiMC00MWQ5LTlhOTItY2IxN2EyNjEyNjkw,"[:""InstanceNamedFn-Ternary"", ""senator"", :PersonTypeByOccupation, ""1323f8ec-17b0-41d9-9a92-cb17a2612690""]"
Mark Ellis (baseball),Mx4rvnhcwZwpEbGdrcN5Y29ycA,BaseballSecondBaseman
Tim Rogers,Mx4rvVisB5wpEbGdrcN5Y29ycA,Musician
Dré Bly,Mx8Ngh4rvpcO4pwpEbGdrcN5Y29ycB4rvVjtBpwpEbGdrcN5Y29ycA,"[:ProfessionalFn, :""FootballPlayer-American""]"
Super Star Wars,Mx4rvVjmuJwpEbGdrcN5Y29ycA,ComputerGameProgram
Laura Flanders,Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-UYnJvYWRjYXN0IGpvdXJuYWxpc3QeK71YotmcKRGxna3DeWNvcnAPpDNiODliNjE2LTE3YTktNDFkOS05MDQ1LWJlZmI5NGU1ZDVmYw,"[:""InstanceNamedFn-Ternary"", ""broadcast journalist"", :PersonTypeByOccupation, ""3b89b616-17a9-41d9-9045-befb94e5d5fc""]"
Charlton Park,Mx4rv4ohjpwpEbGdrcN5Y29ycA,Club-Organization
Coagulopathy,Mx4rwQw4WZwpEbGdrcN5Y29ycA,PhysiologicalCondition
John Elof Boodin,Mx4rvVkFrJwpEbGdrcN5Y29ycA,Teacher
Michael Avon Oeming,Mx4rrDt_gMP2EdmAAAACs6hRjg,Creator-Person
Safar Al-Hawali,Mx4ricIx-Bk3QdifDqwFbZVelw,Scholar
Marcus Gilbert,Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
Surojana Sethabutra,Mx4rwMcZI5wpEbGdrcN5Y29ycA,Artist
Scene 23,Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,"[:GroupFn, :Person]"
Michael Wolgemut,Mx4rvVjPWZwpEbGdrcN5Y29ycA,Painter-Tradesperson
Maya Plisetskaya,Mx4rpoP17rC7QdiJE4oTGQKogw,BalletDancer
Dave Bowen,Mx4rvVjtBpwpEbGdrcN5Y29ycA,FootballPlayer-American
Horntail,Mx4rvimK8JwpEbGdrcN5Y29ycA,Hymenoptera
GE Dash 8-40B,Mx4rvZJQDJwpEbGdrcN5Y29ycA,TrainEngine
B12 (band),Mx4rsCLgAscWEdmAAAACs6hRjg,Duet
Thomas Russell (painter),Mx4rvVjPWZwpEbGdrcN5Y29ycA,Painter-Tradesperson
Fu Youyi,Mx4rwQryspwpEbGdrcN5Y29ycA,PublicOfficial
John Patrick Amedori,Mx4rvVisB5wpEbGdrcN5Y29ycA,Musician
Mount Asgard,Mx4rvVjODZwpEbGdrcN5Y29ycA,Mountain
Kaori Manabe,Mx4rv7CrT5wpEbGdrcN5Y29ycA,FashionModel
GCR Class 11F,Mx4rvZJQDJwpEbGdrcN5Y29ycA,TrainEngine
Willie Anderson (basketball),Mx8Ngh4rvpcO4pwpEbGdrcN5Y29ycB4rvVjzH5wpEbGdrcN5Y29ycA,"[:ProfessionalFn, :BasketballPlayer]"
Tyendinaga (Mohawk) Airport,Mx4rvVj-r5wpEbGdrcN5Y29ycA,Airport-Physical
Russell Ingall,Mx4rvVi-AJwpEbGdrcN5Y29ycA,Driver-TransportationProfessional
Harvey Wood,Mx4rzdLybrXDQ4CKO5_ns-wL4g,FieldHockeyPlayer
José Villarrubia,Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-LYXJ0IHRlYWNoZXIeK71YotmcKRGxna3DeWNvcnAPpDhkMTk0ZWU4LTUyZTUtNDFkOS05M2ZhLWI5NGRhMTMwNzk2NQ,"[:""InstanceNamedFn-Ternary"", ""art teacher"", :PersonTypeByOccupation, ""8d194ee8-52e5-41d9-93fa-b94da1307965""]"
Birkdale School,Mx4rvVjsgZwpEbGdrcN5Y29ycA,HighSchool
Drew Olson,Mx4rvViYiZwpEbGdrcN5Y29ycA,FootballQuarterback
Narew National Park,Mx4rwQwoLJwpEbGdrcN5Y29ycA,NationalPark
Syöte National Park,Mx4rwQwoLJwpEbGdrcN5Y29ycA,NationalPark
Miroslav of Croatia,Mx4rvVjnNpwpEbGdrcN5Y29ycA,King-HeadOfState
Isuzu Panther,Mx4rvVihFpwpEbGdrcN5Y29ycA,PickupTruck
Wing-tsit Chan,Mx4ricIx-Bk3QdifDqwFbZVelw,Scholar
Valerie Carter,Mx8Ngx4rwEcGC5wpEbGdrcN5Y29ycB4r7wQOfEeAEdaAAABQ2sS97h4rvVjiz5wpEbGdrcN5Y29ycA,"[:CollectionIntersection2Fn, :Songwriter, :Singer]"
Shamil Sabirov,Mx4rvViXA5wpEbGdrcN5Y29ycA,Boxer
Match (Marvel Comics),Mx4rwHKvgpwpEbGdrcN5Y29ycA,FictionalCharacter
Cupaniopsis,Mx4rvViaLZwpEbGdrcN5Y29ycA,Bush
"Skyview High School (Nampa, Idaho)",Mx4rvVjsgZwpEbGdrcN5Y29ycA,HighSchool
Brenda Chenowith,Mx4rwHKvgpwpEbGdrcN5Y29ycA,FictionalCharacter
Talgat Tadzhuddin,Mx4rvjBdZpwpEbGdrcN5Y29ycA,Mufti
USS Meade (DD-602),Mx4rwQCZ_pwpEbGdrcN5Y29ycA,Destroyer
Levon Kirkland,Mx4rvVjZG5wpEbGdrcN5Y29ycA,FootballLinebacker
John Torode,Mx4rvVj_zZwpEbGdrcN5Y29ycA,Chef
"WIN 55,212-2",Mx4rvVjNlZwpEbGdrcN5Y29ycA,ChemicalSubstanceType
Fable II,Mx4rvVjmOpwpEbGdrcN5Y29ycA,ComputerGameProgram-Graphical
Myechyslaw Hryb,Mx4rvVjPw5wpEbGdrcN5Y29ycA,Chairman-HeadOfState
No. 695 Squadron RAF,Mx4rIlMG-HS8EdaAAACgyZzFrg,Squadron-MilitaryEchelon
Mount Washburn,Mx4rvVjODZwpEbGdrcN5Y29ycA,Mountain
Sleeping Beauty Mountain Provincial Park,Mx4rv3w8b5wpEbGdrcN5Y29ycA,ProvincialPark-Canada
Alice Pieszecki,Mx4rwHKvgpwpEbGdrcN5Y29ycA,FictionalCharacter
Kajetan Sołtyk,Mx4rwQBwwpwpEbGdrcN5Y29ycA,CatholicPriest
Memory T cell,Mx4rvbdbmZwpEbGdrcN5Y29ycA,TLymphocyte
Magor services,Mx4ra67QnMBxEdaAAAACs6Mw3A,ServiceStation-Facility
Hoogblokland,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
Betty Berzon,Mx4rvViowZwpEbGdrcN5Y29ycA,Author
Michel Garder,Mx4rvViyfpwpEbGdrcN5Y29ycA,AdultMaleHuman
Mirow,Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
Frank Sinatra School of the Arts,Mx4rvVjsgZwpEbGdrcN5Y29ycA,HighSchool
Walter W. Magee,Mx4rwKjHxZwpEbGdrcN5Y29ycA,USRepresentative
Norman Myers,Mx8Ngh4rwBtg95wpEbGdrcN5Y29ycB4rwEw8YpwpEbGdrcN5Y29ycA,"[:BelieverFn, :Environmentalism]"
Asha (town),Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
Augustus Desiré Waller,Mx4rvVj-wZwpEbGdrcN5Y29ycA,Physiologist
Kristin Kuster,Mx4rvVjp3ZwpEbGdrcN5Y29ycA,MusicalComposer
Mateus Galiano da Costa,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Kings and Queens (Anti-Nowhere League album),Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Jose Llana,Mx4rvVjiz5wpEbGdrcN5Y29ycA,Singer
The Profound Desire of the Gods,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Sidney Harman Hall,Mx4rvViwqZwpEbGdrcN5Y29ycA,MovieTheaterSpace
Jarred Moore,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Rosina Brandram,Mx4rwDAgt5wpEbGdrcN5Y29ycA,OperaSinger
