i,Reykjanes,Mx4rvViPJpwpEbGdrcN5Y29ycA,Peninsula
v,Pierrette Ringuette,Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-Hc2VuYXRvch4rvVii2ZwpEbGdrcN5Y29ycA-kMTMyM2Y4ZWMtMTdiMC00MWQ5LTlhOTItY2IxN2EyNjEyNjkw,"[:""InstanceNamedFn-Ternary"", ""senator"", :PersonTypeByOccupation, ""1323f8ec-17b0-41d9-9a92-cb17a2612690""]"
i,Marcus Gilbert,Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
v,Surojana Sethabutra,Mx4rwMcZI5wpEbGdrcN5Y29ycA,Artist
i,Michael Wolgemut,Mx4rvVjPWZwpEbGdrcN5Y29ycA,Painter-Tradesperson
v,Kaori Manabe,Mx4rv7CrT5wpEbGdrcN5Y29ycA,FashionModel
i,Birkdale School,Mx4rvVjsgZwpEbGdrcN5Y29ycA,HighSchool
v,Cupaniopsis,Mx4rvViaLZwpEbGdrcN5Y29ycA,Bush
v,Sidney Harman Hall,Mx4rvViwqZwpEbGdrcN5Y29ycA,MovieTheaterSpace
i,Rothmans Medal,Mx4rvVjKSZwpEbGdrcN5Y29ycA,GivingAnAward
i,Oakes Ames Memorial Hall,Mx4rwQBczJwpEbGdrcN5Y29ycA,PersonAssemblyRoom
i,Wafu dressing,Mx4rvViX8ZwpEbGdrcN5Y29ycA,Salad
i,Eben Fiske Ostby,Mx4rvV79tpwpEbGdrcN5Y29ycA,DirectorOfOrganization
v,108th Regiment of Foot (1794),Mx4rgswEFm3OEdaAAACgye-oRQ,Regiment-MilitaryEchelon
v,Huma Abedin,Mx4rwQr5eJwpEbGdrcN5Y29ycA,Leader
i,Andy Wilson (director),Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvViZVJwpEbGdrcN5Y29ycB4rvVjVT5wpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :Person, :boardMembers, :Organization]"
v,Thomassique,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
i,Wang Chen (table tennis),Mx4rvVj5IZwpEbGdrcN5Y29ycA,TennisPlayer
v,David D. Pearce,Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-XRm9yZWlnbiBTZXJ2aWNlIG9mZmljZXIeK71YotmcKRGxna3DeWNvcnAPpDBkMjcwMDVhLTE3YjEtNDFkOS05MDcxLTkzYjNhMDZkNjMzMQ,"[:""InstanceNamedFn-Ternary"", ""Foreign Service officer"", :PersonTypeByOccupation, ""0d27005a-17b1-41d9-9071-93b3a06d6331""]"
i,Hiligaynon (magazine),Mx4rvViXeJwpEbGdrcN5Y29ycA,MagazineCopy
v,Hamilton Millwright-Agent's House,Mx4rvVih-5wpEbGdrcN5Y29ycA,House-Modern
i,Rhagoletis bezziana,Mx4rv3fujZwpEbGdrcN5Y29ycA,Drosophila
i,Allan Warren,Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
v,S. C. Malhan,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvVicA5wpEbGdrcN5Y29ycB4rvVjVT5wpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :Person, :organizationHead, :Organization]"
i,Mark Fitzloff,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvViZVJwpEbGdrcN5Y29ycB4rvVjVT5wpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :Person, :boardMembers, :Organization]"
v,Benjamin Telem,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvVicA5wpEbGdrcN5Y29ycB4rvVjVT5wpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :Person, :organizationHead, :Organization]"
i,CADIVI,Mx4rJVcwwrZqEdmFRAACs6hRjg,Gathering-SocialGroup
v,Big Band Theory,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
v,Rescue Point,Mx4rIHDeCrgqEdmAAAACs0x8nw,Point-Topographical
v,Bob de Klerk,Mx4rvVi3YpwpEbGdrcN5Y29ycA,Manager
i,Cole Walliser,Mx4rvV79tpwpEbGdrcN5Y29ycA,DirectorOfOrganization
v,Elizabeth Yoffe,Mx4rwQr5eJwpEbGdrcN5Y29ycA,Leader
