Boudica,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Hanover, New Hampshire",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
N,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Stevie Nicks,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Hernando de Soto,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Max Born,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Stephen R. Donaldson,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Snow Crash,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
International Union for Conservation of Nature,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Barcelona Cathedral,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent
"Fairfield Glade, Tennessee",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
"Pea Ridge, West Virginia",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Richard Brinsley Sheridan,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Tribute album,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Josh Hartnett,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Black-necked Swan,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Benjamin Travis Laney,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
William S. Fulton,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Dorothy Loudon,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Whitechapel station,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent
Ford GT,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Deloitte,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Malcolm Cowley,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
New Radicals,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
