American English,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Ann Widdecombe,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
AOL Instant Messenger,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Arlo Guthrie,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Badminton,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Blood,Mx4rwQBXZpwpEbGdrcN5Y29ycA,OrganismPart
Book of Numbers,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Baghdad,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Council of Europe,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Connecticut,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Clitoris,Mx4rwQBXZpwpEbGdrcN5Y29ycA,OrganismPart
Cruise (automotive),Mx4rvrOVYpwpEbGdrcN5Y29ycA,PurposefulPhysicalAction
Dominoes,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Major depressive disorder,Mx4rvYjIS5wpEbGdrcN5Y29ycA,Situation
Diocletian,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Detroit (1920s NFL teams),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Embroidery,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic
MDMA,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Fatty acid,Mx4rvVjD0JwpEbGdrcN5Y29ycA,OrganicMaterial
Frontline (U.S. TV series),Mx4rvVjmoJwpEbGdrcN5Y29ycA,Group,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork,Mx4rvfAugpwpEbGdrcN5Y29ycA,VisualWork
GNU Debugger,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Sequence,Mx4rvViRapwpEbGdrcN5Y29ycA,ChemicalObject
Killer whale,Mx4rvVimKJwpEbGdrcN5Y29ycA,Mammal
Koi,Mx4rvVjfU5wpEbGdrcN5Y29ycA,Fish
Union (Hungarian-German trade union council),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Leonard Peltier,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Lake Eyre,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Morocco,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mao Zedong,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Microscopium,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
Mousse,Mx4rvVi9i5wpEbGdrcN5Y29ycA,Food
Nokia,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
New Zealand Defence Force,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Nuclear reactor,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjVgZwpEbGdrcN5Y29ycA,MechanicalDevice,Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
Oklahoma,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Paula Abdul,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Programmer,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Porsche 924,Mx4rvVjVgZwpEbGdrcN5Y29ycA,MechanicalDevice,Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice,Mx4rvVjVQJwpEbGdrcN5Y29ycA,TransportationDevice
Ryutaro Hashimoto,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Robert Byrd (artist),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Selenium,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Saint Kitts and Nevis,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Swaziland,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Scottish Gaelic,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Saint George,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Stuart Little,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Tuvalu,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Timor Timur,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Toronto Blue Jays,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Tom Burnett,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Thermocouple,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rvkNufpwpEbGdrcN5Y29ycA,InformationBearingThing
Tsunami,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
United Nations General Assembly,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Uzbeks,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Vietnamese language,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
V6 engine,Mx4rvVjVgZwpEbGdrcN5Y29ycA,MechanicalDevice,Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
Wankel engine,Mx4rvVjVgZwpEbGdrcN5Y29ycA,MechanicalDevice,Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
