Cruise (automotive),Mx4rvrOVYpwpEbGdrcN5Y29ycA,PurposefulPhysicalAction
Sequence,Mx4rvViRapwpEbGdrcN5Y29ycA,ChemicalObject
Union (Hungarian-German trade union council),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Oklahoma,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Wolfenstein 3D,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Bergen,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Wandsworth,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Graham Norton,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Pussy,Mx4rvVimKJwpEbGdrcN5Y29ycA,Mammal
Wiktionary,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Kurgan,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Aaron Sorkin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Command (military formation),Mx4rvViADZwpEbGdrcN5Y29ycA,Event
Rainbow Six (novel),Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Planning (Listed Buildings and Conservation Areas) Act 1990,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Dungannon (Parliament of Ireland constituency),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Pitch (filmmaking),Mx4rvViAzZwpEbGdrcN5Y29ycA,Relation
Magilligan,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Carla Bruni,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Benihana,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Drugstore (band),Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
"Montpelier (Cabin Point, Virginia)",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Haywood (band),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Copernic,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Zimmer Holdings,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Newtownhamilton,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Destruction Derby 2,Mx4rAuvUYC-RQdmc-9BTep9nKQ,Technology-Artifact
Spur (architecture),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Santa Fe (nude photo book),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Uludere,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Physical address,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
Tucson (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Haina (Haida village),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Flagstaff (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Magellan (band),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Gospel (liturgy),Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Westport (Metro-North station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Administration (government),Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Glenwood Springs (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Kansas City (ABA),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
La Junta (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Tomb Raider (comics),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
George Bush (racing driver),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Kris Jenner,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Elmhurst (Caldwell, West Virginia)",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Granada (Albéniz),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Paranoia (Hermans book),Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
MODE (magazine),Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
