Waterloo (1970 film),Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rvkNufpwpEbGdrcN5Y29ycA,InformationBearingThing
Moog (surname),Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Clupeidae,Mx4rvVjfU5wpEbGdrcN5Y29ycA,Fish
"Chambers County, Alabama",Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rv6EfGZwpEbGdrcN5Y29ycA,Place-NonAgent
Hubei,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Heaven's Gate (film),Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rvkNufpwpEbGdrcN5Y29ycA,InformationBearingThing
"Ruma, Illinois",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Girard, Kansas",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
"Rock Hill, Missouri",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Dexter, New Mexico",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Fruitdale, South Dakota",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mudbrick,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice,Mx4rvVkFYpwpEbGdrcN5Y29ycA,Product
Clare Boothe Luce,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
ORWO,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Rio Grande Games,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Lena Horne,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Marquis reagent,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Leopold Gmelin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
