y,Forge,Mx4rvVj2PZwpEbGdrcN5Y29ycA,Fireplace
y,Napoleonic Code,Mx4rvWXHupwpEbGdrcN5Y29ycA,LegalCode
y,Angela Davis,Mx8Ngh4rwBtg95wpEbGdrcN5Y29ycB4rvkshiJwpEbGdrcN5Y29ycA,"[:BelieverFn, :Feminism]"
y,Conor Oberst,Mx4rvVj1zpwpEbGdrcN5Y29ycA,UnitedStatesPerson
y,Samantha Carter,Mx4rwHKvgpwpEbGdrcN5Y29ycA,FictionalCharacter
y,Ralston Purina,Mx4rvVjvI5wpEbGdrcN5Y29ycA,ManufacturingOrganization
y,Naban,Mx4rvVjEOpwpEbGdrcN5Y29ycA,CombatSportsEvent
y,France national rugby union team,Mx4rvmggJ5wpEbGdrcN5Y29ycA,NationalSportsTeam
y,Universalizability,Mx4rcAmbiMb8EdmAAAACs6hRjg,Concept
n,Ruoholahti,Mx4rvViUQZwpEbGdrcN5Y29ycA,AcademicQuarter
y,Windows Mobile,Mx4rvViws5wpEbGdrcN5Y29ycA,OperatingSystem
n,Steve Field (medical doctor),Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
y,MacDonnell Ranges,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
y,Seleniko,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
y,Columbus Monthly,Mx4rwQ7-8pwpEbGdrcN5Y29ycA,MagazineSeries
y,Sirous Ghayeghran,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
y,Fielding Lewis,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
y,Bronx Preparatory Charter School,Mx4rvVjsgZwpEbGdrcN5Y29ycA,HighSchool
n,Dessie O'Hare,Mx4rvhvt4ZwpEbGdrcN5Y29ycA,Republican
y,Rasmus Würtz,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
y,One-person show,Mx4rvvIC-JwpEbGdrcN5Y29ycA,PlayPerformance
y,J with stroke,Mx4rwA1vh5wpEbGdrcN5Y29ycA,Letter-Alphabetic
u,WWF Superstars 2,Mx4rvkS9GZwpEbGdrcN5Y29ycA,Game
y,Nando Rafael,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
y,Harry Pilling,Mx4r7vjP4RuaEd2f4ADggVfexA,Cricketer
y,Musumba,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
n,Kill the Moonlight (film),Mx4rvVkB4ZwpEbGdrcN5Y29ycA,PhotographicFilm
y,John Abbey,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
y,Special Studies Film II,Mx4rwFmUH5wpEbGdrcN5Y29ycA,HorrorMovie
y,Henry Yesler,Mx4rvVjiBJwpEbGdrcN5Y29ycA,Auditor
y,Bellairs Research Institute,Mx4rQjPWFMh5EdmAAAACs6hRjg,Institution
y,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW
y,Neil Shephard,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
n,Minor Earth Major Sky (song),Mx4rvXS5YpwpEbGdrcN5Y29ycA,Song-Sung
y,Lake Narracan,Mx4rvVi4IpwpEbGdrcN5Y29ycA,Lake
u,Roman Catholic Mission Sui Iuris of Turks and Caicos,Mx4rLHhrFCBjEdiNYwACs6hnlQ,Diocese-Catholic
y,Trench Cup,Mx4rvViAGpwpEbGdrcN5Y29ycA,Competition
y,Hinckley and Rugby Building Society,Mx4rQjPWFMh5EdmAAAACs6hRjg,Institution
y,Hendrik S. Houthakker,Mx4rwQB4UJwpEbGdrcN5Y29ycA,JewishPerson
y,Pattampoochi,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
u,Henry Buckingham (politician),Mx4rwQr5eJwpEbGdrcN5Y29ycA,Leader
y,Bretocino,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
y,Castrodeza,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
y,Hexacyclonate,Mx4rvVim-JwpEbGdrcN5Y29ycA,Alcohol-Compound
u,San Francisco Youth Commission,Mx4rtWvackq1EdiedwAH6RYvSQ,Council-Organization
y,Isabel Morgan,Mx4rvViaI5wpEbGdrcN5Y29ycA,Researcher
y,Paolo Rustichelli,Mx4r1_WUCnWaQdeEdp-4peq4Og,Graduate
y,Leptochilus (wasp),Mx4rvVi8MZwpEbGdrcN5Y29ycA,Wasp
y,Ibrahim Electric,Mx4rvVij7ZwpEbGdrcN5Y29ycA,MusicPerformanceOrganization
y,Roman Catholic Diocese of Brno,Mx4rvVjbBJwpEbGdrcN5Y29ycA,ReligiousOrganization
y,Marlo Perry,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
y,Giovanni Priuli,Mx4rvVjp3ZwpEbGdrcN5Y29ycA,MusicalComposer
u,1997–98 Moldovan National Division,Mx4reRavYrKQEd2AAAAhm0jtOQ,FootballSeason
y,Codman-Davis House,Mx4rvVih-5wpEbGdrcN5Y29ycA,House-Modern
y,HMS Exmoor,Mx4rwB7x55wpEbGdrcN5Y29ycA,Name
y,Çaxmaqlı,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
y,Ishi Wilderness,Mx4rvgDFxZwpEbGdrcN5Y29ycA,WildernessArea
y,Santa Mesa railway station,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
y,Quadrula pustulosa,Mx4rvVjvjpwpEbGdrcN5Y29ycA,Mollusk
u,There Is No Alternative: Why Margaret Thatcher Matters,Mx4rK61iUHS-EdaAAACgyZzFrg,PropositionalConceptualWork-BiographyGenre
y,Boettcher Foundation,Mx4rvVowaJwpEbGdrcN5Y29ycA,FoundationOrganization
y,Kottawa,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
y,Jaipuria Institute of Management,Mx4rvVjp6ZwpEbGdrcN5Y29ycA,BusinessSchool
y,Aleksei Turovski,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
y,Sphaerodothella,Mx4rvVian5wpEbGdrcN5Y29ycA,BiologicalGenus
y,Holsbybrunn,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
y,Hodenberg,Mx4rvVilOpwpEbGdrcN5Y29ycA,Family-Human
u,Toute la Lyre,Mx4rvvm9OJwpEbGdrcN5Y29ycA,Poem-CW
y,Oklahoma Conservation Commission,Mx4rv8Cq9pwpEbGdrcN5Y29ycA,GovernmentAgency
y,Pengshan County,Mx4rbFoHaMb1EdmAAAACs6hRjg,AdministrativeDistrict
y,Shouwu Wan,Mx4rwP1I25wpEbGdrcN5Y29ycA,Pill
y,"Pittsburgh mayoral election, 2005",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
y,Gyula (name),Mx4rvVjoEJwpEbGdrcN5Y29ycA,HumanGivenNameString
y,The Hind and the Panther,Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW
y,Chiaki Watanabe,Mx4rwMcZI5wpEbGdrcN5Y29ycA,Artist
u,Naviforme,Mx4rwQwtQJwpEbGdrcN5Y29ycA,Monument
y,Kullaaru,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
y,"Russell Township, Russell County, Kansas",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
n,List of The Asylum Monsters,Mx4rwHKvgpwpEbGdrcN5Y29ycA,FictionalCharacter
y,"Statue, National Museum of Iran 2401",Mx4rvgELj5wpEbGdrcN5Y29ycA,Statue
y,Nathan Thompson (English footballer),Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
y,NGC 3621,Mx4rvvsdppwpEbGdrcN5Y29ycA,SpiralGalaxy
y,Aleksandr Stishinsky,Mx4rvgD1_JwpEbGdrcN5Y29ycA,RussianPerson
y,Ljubuša,Mx4rvVjODZwpEbGdrcN5Y29ycA,Mountain
y,July 1936 military uprising in Melilla,Mx4rd0DfJLgfEdmAAAACs6hRjg,MilitaryBattle
y,Anwar Adnan Saleh,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
y,Chico Fletcher,Mx4rvViYBZwpEbGdrcN5Y29ycA,FootballOffensiveGuard
y,"George Knew, Sr.",Mx4r7vjP4RuaEd2f4ADggVfexA,Cricketer
y,Paul Dillon (footballer),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
y,Carlos Javier Benielli,Mx4rvVj7rpwpEbGdrcN5Y29ycA,Writer
y,Barry-Wehmiller,Mx4rvVjvXpwpEbGdrcN5Y29ycA,ManufacturingCompany
Waterloo (1970 film),Mx4rvVkB4ZwpEbGdrcN5Y29ycA,PhotographicFilm
Moog (surname),Mx4rv2Wq-ZwpEbGdrcN5Y29ycA,HumanSurname
Clupeidae,Mx4rvVjfU5wpEbGdrcN5Y29ycA,Fish
"Chambers County, Alabama",Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Hubei,Mx4rvVjM45wpEbGdrcN5Y29ycA,Province
Heaven's Gate (film),Mx4rvVkB4ZwpEbGdrcN5Y29ycA,PhotographicFilm
"Ruma, Illinois",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
"Girard, Kansas",Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
"Rock Hill, Missouri",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
"Dexter, New Mexico",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
"Fruitdale, South Dakota",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
Mudbrick,Mx4rvVj-spwpEbGdrcN5Y29ycA,Brick
Clare Boothe Luce,Mx4rvVj7rpwpEbGdrcN5Y29ycA,Writer
ORWO,Mx4rLRxwSjt6EdaAAACgye-oRQ,Company-MilitaryEchelon
Rio Grande Games,Mx4rvViKZJwpEbGdrcN5Y29ycA,PublishingCompany
Lena Horne,Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
Marquis reagent,Mx4rwDDErJwpEbGdrcN5Y29ycA,SpecifiedTest-CW
Leopold Gmelin,Mx4rvVkMGZwpEbGdrcN5Y29ycA,GermanPerson
Sodium nitrite,Mx4rZBlE-I4ZQdiKV-E2YrcatA,EfficaciousSubstanceTypeByComposition
Mercury(II) chloride,Mx4rvVjNlZwpEbGdrcN5Y29ycA,ChemicalSubstanceType
Draft (politics),Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Henslow's Sparrow,Mx4rvVi8SJwpEbGdrcN5Y29ycA,Bird
Bronisław Malinowski (athlete),Mx4rvVieQZwpEbGdrcN5Y29ycA,Runner-Messenger
Mac McDonald,Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050
Gonaïves,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
