v,Boudica,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,"Hanover, New Hampshire",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
v,N,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
v,Stevie Nicks,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Amtrak,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Hernando de Soto,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Max Born,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Stephen R. Donaldson,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Snow Crash,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,International Union for Conservation of Nature,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,Barcelona Cathedral,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
v,"Fairfield Glade, Tennessee",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
v,"Pea Ridge, West Virginia",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
v,Richard Brinsley Sheridan,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Scotty Moore,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Tribute album,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Josh Hartnett,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Black-necked Swan,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
v,Benjamin Travis Laney,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,William S. Fulton,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Dorothy Loudon,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Whitechapel station,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
i,Indian Stream,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
v,Ford GT,Mx4rvVjUvZwpEbGdrcN5Y29ycA,SelfPoweredDevice
v,Deloitte,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,Malcolm Cowley,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,New Radicals,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,Ohio Company of Associates,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,Rustam Kasimdzhanov,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Didier Ratsiraka,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Scarlets,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,Ovation Pharmaceuticals,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,SSN (novel),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Eduardo V. Manalo,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Sandy Amorós,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Ajda Pekkan,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,John Bull (Continental Congress),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
v,By Dawn's Early Light,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,United Daily News,Mx4rwU8mTJwpEbGdrcN5Y29ycA,ConceptualWorkSeries
v,"Intracoastal City, Louisiana",Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
i,L. T. F. Gamut,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Philip Lansdale,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Pale Sun Crescent Moon,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
i,Italian cruiser Giovanni delle Bande Nere,Mx4rvViMW5wpEbGdrcN5Y29ycA,Submarine
v,Sujata Manohar,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,An Occurrence at Owl Creek Bridge (film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Aftershock: Earthquake in New York,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,La Salle College,Mx4rvVinb5wpEbGdrcN5Y29ycA,IntelligentAgent
v,Dirty Pair,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Mitică Pricop,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Nicholas Morello,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Tazo,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,Rescue Heroes,Mx4rwU8mTJwpEbGdrcN5Y29ycA,ConceptualWorkSeries
v,Cosima (album),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
i,Gran Ducato Parma Rugby,Mx4rwOI75pwpEbGdrcN5Y29ycA,Tournament
v,Yosif Feigelson,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Mercedes-Benz 280,Mx4rvVjUvZwpEbGdrcN5Y29ycA,SelfPoweredDevice
v,Emperor Daozong of Liao,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Lac qui Parle River,Mx4rvVkHdJwpEbGdrcN5Y29ycA,Stream
v,Stella Márquez,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Katharine Cullen,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Noble Group,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,Buchbrunn,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Loewi,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
v,Gordon Roberts (ice hockey),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Melissa Panarello,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,David Linx,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,"Baungon, Bukidnon",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Gordon Minhinnick,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,The FBI Story,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Eastern Youth,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,Thomas Hambly Ross,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Sarrasine,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Djavan,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Arturo Rawson,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Lord Willin',Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Brian Augustyn,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Shelley Smith (sports reporter),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Matthias Media,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,The Death of Hope,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,William d'Aubigny (rebel),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,USS Duxbury Bay (AVP-38),Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
v,Dilema veche,Mx4rwU8mTJwpEbGdrcN5Y29ycA,ConceptualWorkSeries
v,Vinnell,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,Antoine Sibierski,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Plungė District Municipality,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Eric Person,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Saipem Nigeria,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Lucius Vorenus,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Sven Maes,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Guy Lewis,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Brad Hoover,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,The First Great Train Robbery,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Reichskommissariat Ukraine,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Richard Winer,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Kimbundu,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
v,Deborah Houlding,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,The Eel (film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,The Poet (album),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Dalia Itzik,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Can't Run from Yourself,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Swedish Rail Administration,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,John J. Palmer,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Paul Posluszny,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Consett A.F.C.,Mx4rvVig-pwpEbGdrcN5Y29ycA,HandTool
v,Wang Ming-wan,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Jane Jarvis,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Melkus RS 1000,Mx4rvVjUvZwpEbGdrcN5Y29ycA,SelfPoweredDevice
i,Dreaming of You (album),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Old Time Pottery,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
v,Georges Badin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Magnus (band),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,Jim Simpson (sportscaster),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Cornelia Oschkenat,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
