i,Convention on Fishing and Conservation of the Living Resources of the High Seas,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,"Grubbs, Arkansas",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,"Nieuwpoort, Belgium",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,"Coamo, Puerto Rico",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Province of Ragusa,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,Sredni Vashtar,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
v,Dancing at Lughnasa,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Joan of Arc (1948 film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Rangamati,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Oluwasegun Abiodun,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,The Awakening (sculpture),Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
i,Off-Ramp,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
v,Geoff Strong,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,El Busto,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Garango,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Gil Carlos Rodríguez Iglesias,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Pier Pressure (Arrested Development),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
i,GameNOW,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
v,Porto Tolle,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Dömitz,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,"Atri, Abruzzo",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Sant'Angelo di Piove di Sacco,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,Robotnik (1894–1939),Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
v,Gil Brandt,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Bronze Man (comics),Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
v,Alexey Spirin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Edith Holloway,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,From the Misery of Don Joost,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,Keezo Kane,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Cycling at the 2000 Summer Olympics – Women's cross-country,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Jonathan M. Rothberg,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Afro-Punk (film),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Korean Canadian,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Mike Mathis,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Gottipati Brahmaiah,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Tommy Thompson (footballer born 1928),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,The Mike Schneider Polka Band,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Roger Moeremans d'Emaüs,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,"Goro, Mirab Shewa",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,Roman Catholic Diocese of Parma,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Brewster's Millions (1914 film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
i,Christ of Havana,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
v,Jean-François-Joseph de Rochechouart,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,8273 Apatheia,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
v,15497 Lucca,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
v,3930 Vasilev,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
v,14594 Jindrašilhán,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
i,Homeless USA Cup,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
v,"Ootischenia, British Columbia",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,The Song of Songs (1933 film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
i,Athletics at the 2008 Summer Paralympics – Men's 400 metres T44,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Los Bellosos,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Tepecoacuilco de Trujano (municipality),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Roger Kenyon,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Pittsburgh & Steubenville Extension Railroad Tunnel,Mx4rvgD1IZwpEbGdrcN5Y29ycA,Bridge
v,San Sebastián Tutla,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,Cape Verde at the 2009 Lusophony Games,Mx4r8WKTYg5tEd6AAAAhm0QbaA,MultiSportsEventSportsCompetition
v,Heddy Honigmann,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Ivan Anastasov,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Choc Bay,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,"Gouldbusk, Texas",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Hungarians in Germany,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Bodinga,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Dianópolis,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
v,Jack Miller (sportscaster),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Tlachichuca (municipality),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,Pallichandai Silaiman,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
i,According to Mark,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Weightlifting at the 2010 Commonwealth Games – Women's +75 kg,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Neil McGregor (film director),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
