Lombardy,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Cryptomonad,Mx4rvVim7ZwpEbGdrcN5Y29ycA,BiologicalLivingObject
"Avilla, Missouri",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Beclabito, New Mexico",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Ulster, New York",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Gate City, Virginia",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Saratoga, Wisconsin",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Coramae Richey Mann,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Kent County, New Brunswick",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Ian Watt,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Gustave Courbet,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mister Peepers,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
William McGuigan,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
William Paterson University,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Scott McCloud,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Robert M. La Follette, Jr.",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Robert Carlyle,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Walpole Island Indian Reserve No. 46,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Leon Askin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Wayne Goodwin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Filey,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Jeremy Lloyd,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
The Delgados,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Geoff Murphy,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Steinunn Sigurðardóttir,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Guimarei,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
South Darfur,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Ati, Chad",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
USS Experiment (1832),Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
William Russell (actor),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Gen Re,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Thilina Kandamby,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Aer Rianta International,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
The Statler Brothers,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
"Combe, Oxfordshire",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Jonathan Routh,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mamberamo River,Mx4rvVkHdJwpEbGdrcN5Y29ycA,Stream
Ernst Loof,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Porky's Badtime Story,Mx4rvVjPtpwpEbGdrcN5Y29ycA,VisualInformationBearingThing
Bruce Trigger,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Jules Doinel,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Sugarloaf (ski resort),Mx4r8amJWGj-EdaeaQACs0uFOQ,OutdoorRecreationArea
Jens Jensen (landscape architect),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
McNally Robinson,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Suburban Station,Mx4rvYOiA5wpEbGdrcN5Y29ycA,Terminal-TransferPoint
Pars tuberalis,Mx4rwQBXZpwpEbGdrcN5Y29ycA,OrganismPart
John Barrow (U.S. politician),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Jawaharlal Nehru University,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
McCormick Theological Seminary,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Barbara Barrie,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Petrea Burchard,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Eno River,Mx4rvVkHdJwpEbGdrcN5Y29ycA,Stream
Peacock bass,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Crociati Parma Rugby FC,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Rednex,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Mia De Vits,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Evander M. Law,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Empress Wei Zifu,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Bradespar,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
