"Kent County, New Brunswick",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Walpole Island Indian Reserve No. 46,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Filey,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
South Darfur,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Ati, Chad",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
McCormick Theological Seminary,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
"Mechanicsburg, West Virginia",,Neighborhood
"Campsie, New South Wales",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Lillis, Kansas",,Neighborhood
"David, Kentucky",,Neighborhood
"Romilly, Vale of Glamorgan",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Santa Margarida da Coutada,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Green Run, Virginia",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mano Destra,,ConceptualWork
"Highbury, South Australia",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Sikhism in Australia,,MonotheisticReligion
"Mariah Hill, Indiana",,Neighborhood
The Week (Indian magazine),,ConceptualWork
Gmina Jeżewo,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Gmina Mieścisko,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
El Espavé,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
4055 Magellan,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
"Seventh Ward, New Orleans",,Neighborhood
"Sunfish, Kentucky",,Neighborhood
Khaskarkado,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
St. Francis Xavier Church and Newtown Manor House Historic District,,Neighborhood
Spring Creek Dam,,Dam
Jackson Street Cemetery,,Graveyard
"Edward Denny, 1st Earl of Norwich",,Person
Haleiwa Fighter Strip,,Airfield
St. Mary's College of Engineering and Technology,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Mavros Volakas,,StoneObject-Natural
"Batsto Village, New Jersey",,Place
Emory Grove Historic District,,Neighborhood
Mason and Oceana Railroad,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Magala-Cad District,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Piskivka,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
D-400 engine,Mx4rvVjVgZwpEbGdrcN5Y29ycA,MechanicalDevice
Roaring Beach,,Beach
"Yamacraw, Kentucky",,Neighborhood
Richmond Downtown Historic District,,Neighborhood
Ramkan Rural District,,Neighborhood
"Logan House (Wilmington, Delaware)",,HotelBuilding
Mouriscas,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Barbara of Brandenburg (1423–1481),,Person
Balıkesir,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
