Cruise (automotive),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
MDMA,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Sequence,Mx4rwCrWjpwpEbGdrcN5Y29ycA,Polynucleotide
Union (Hungarian-German trade union council),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Oklahoma,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Robert Byrd (artist),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Selenium,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Tsunami,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
United Nations General Assembly,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Bergen,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Advocate,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Henry II of France,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Wandsworth,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Pussy,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Oran,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Wiktionary,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Kurgan,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Command (military formation),Mx4rvViADZwpEbGdrcN5Y29ycA,Event
Ashton Kutcher,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Rainbow Six (novel),Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Planning (Listed Buildings and Conservation Areas) Act 1990,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Knot (mathematics),Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Dungannon (Parliament of Ireland constituency),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Pitch (filmmaking),Mx4rvViAzZwpEbGdrcN5Y29ycA,Relation
Magilligan,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Carla Bruni,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Benihana,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Pentobarbital,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Drugstore (band),Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
"Montpelier (Cabin Point, Virginia)",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Haywood (band),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Copernic,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Acebutolol,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Eplerenone,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Destruction Derby 2,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Trimethobenzamide,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Spur (architecture),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Santa Fe (nude photo book),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Physical address,Mx4rvWEA25wpEbGdrcN5Y29ycA,CharacterString
Tucson (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Flagstaff (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Magellan (band),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Westport (Metro-North station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Administration (government),Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
Glenwood Springs (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Hassanal Bolkiah,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Kansas City (ABA),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
La Junta (Amtrak station),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
GYKI-52895,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Tomb Raider (comics),Mx4rwU8mTJwpEbGdrcN5Y29ycA,ConceptualWorkSeries
George Bush (racing driver),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Kris Jenner,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Elmhurst (Caldwell, West Virginia)",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Granada (Albéniz),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Paranoia (Hermans book),Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
MODE (magazine),Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Kickboxing,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
