American English,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Ann Widdecombe,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
AOL Instant Messenger,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Arlo Guthrie,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Badminton,Mx4rv9p3wpwpEbGdrcN5Y29ycA,DevisedPracticeOrWork
Blood,Mx4rvVjI8JwpEbGdrcN5Y29ycA,Blood
Book of Numbers,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Baghdad,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Council of Europe,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Connecticut,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Clitoris,Mx4rwQBXZpwpEbGdrcN5Y29ycA,OrganismPart
Cruise (automotive),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Dominoes,Mx4rv9p3wpwpEbGdrcN5Y29ycA,DevisedPracticeOrWork
Major depressive disorder,Mx4rvViADZwpEbGdrcN5Y29ycA,Event
Diocletian,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Detroit (1920s NFL teams),Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Embroidery,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic
Fatty acid,Mx4rvVjD0JwpEbGdrcN5Y29ycA,OrganicMaterial
Frontline (U.S. TV series),Mx4rwU8mTJwpEbGdrcN5Y29ycA,ConceptualWorkSeries
GNU Debugger,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Killer whale,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Koi,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Leonard Peltier,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Lake Eyre,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature
Morocco,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mao Zedong,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Microscopium,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
Mousse,Mx4rwPqcnZwpEbGdrcN5Y29ycA,FoodComposite
Nokia,Mx4rvViS05wpEbGdrcN5Y29ycA,CommercialOrganization
New Zealand Defence Force,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Nuclear reactor,Mx4rwJH52JwpEbGdrcN5Y29ycA,NuclearReactor
Oklahoma,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Paula Abdul,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Programmer,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Porsche 924,Mx4rvVi-V5wpEbGdrcN5Y29ycA,InternalCombustionPoweredDevice
Ryutaro Hashimoto,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Robert Byrd (artist),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Saint Kitts and Nevis,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Swaziland,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Scottish Gaelic,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Saint George,Mx4rvVinb5wpEbGdrcN5Y29ycA,IntelligentAgent
Stuart Little,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Tuvalu,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Timor Timur,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Toronto Blue Jays,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Tom Burnett,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Thermocouple,Mx4rvVjg9ZwpEbGdrcN5Y29ycA,Gauge
United Nations General Assembly,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Uzbeks,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Vietnamese language,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
V6 engine,Mx4rvVjVgZwpEbGdrcN5Y29ycA,MechanicalDevice
Wankel engine,Mx4rvVjVgZwpEbGdrcN5Y29ycA,MechanicalDevice
Wolfenstein 3D,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
XML,Mx4rv9h_4ZwpEbGdrcN5Y29ycA,ArtificialLanguage
XFS,Mx4rwBcktpwpEbGdrcN5Y29ycA,DynamicIndexedInfoSource
United Nations Conference on Trade and Development,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Telugu language,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Aon Center (Los Angeles),Mx4rvVic-pwpEbGdrcN5Y29ycA,OfficeBuilding
Lehigh University,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Pluto,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
Bari,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Brandy,Mx4rvVjIe5wpEbGdrcN5Y29ycA,AlcoholicBeverage
Ionia,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature
Hexactinellid,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Rook (chess),Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice
Sloop,Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
Georgia (country),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Walleye,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Sciaenidae,Mx4rv4Tb5pwpEbGdrcN5Y29ycA,EdibleFish
