Chicago,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Rambutan,Mx4rvVjPdZwpEbGdrcN5Y29ycA,Tree-ThePlant
Stuart Kauffman,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Vladimir Komarov,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Piquet,Mx4rv9p3wpwpEbGdrcN5Y29ycA,DevisedPracticeOrWork
Southwood National Park,Mx4rwQwoXJwpEbGdrcN5Y29ycA,WildernessPark
Harvey Washington Wiley,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Warren, Arkansas",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Yuba City, California",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Beardstown, Illinois",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Alden, Kansas",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Arbutus, Maryland",Mx4rvVi4_pwpEbGdrcN5Y29ycA,Neighborhood
"Freeport, Michigan",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Tobacco Township, Michigan",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Rifton, New York",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Älvkarleby Municipality,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Allegheny Township, Butler County, Pennsylvania",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Forks Township, Sullivan County, Pennsylvania",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Shyam Selvadurai,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Raoul Cédras,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Yōkaichiba, Chiba",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Slax,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
"Green Level, Wake County, North Carolina",Mx4rvVi4_pwpEbGdrcN5Y29ycA,Neighborhood
