1992 in X football,Mx4rvViADZwpEbGdrcN5Y29ycA,Event
Church buildings in X,Mx4rvVj0S5wpEbGdrcN5Y29ycA,ReligiousBuilding
X villages,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
X clients,Mx4rwIlbF5wpEbGdrcN5Y29ycA,SoftwareObject
X autobiographies,Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW
People with acquired X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Delaware X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
X women film directors,Mx4rvVjqs5wpEbGdrcN5Y29ycA,Director-Movie
Internet properties established in N,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Ns science fiction novels,Mx4rvViJb5wpEbGdrcN5Y29ycA,Novel-CW
Philosophers from X,Mx4rvVjuapwpEbGdrcN5Y29ycA,Philosopher
Prime Ministers of the X,Mx4rvVkBhpwpEbGdrcN5Y29ycA,PrimeMinister-HeadOfGovernment
X wicket-keepers,Mx4r7vjP4RuaEd2f4ADggVfexA,Cricketer
Musical groups established in the Ns,Mx4rvgEZGJwpEbGdrcN5Y29ycA,Band-MusicGroup
1690s in X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
"X elections, 1982",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Pharaohs of the X of Egypt,Mx4rwQCWlpwpEbGdrcN5Y29ycA,Pharaoh-HeadOfState
"People from X, Nova Scotia",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Maps of the history of X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Works by John X,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
X of Filipino descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Plays set in X,Mx4rv0F5opwpEbGdrcN5Y29ycA,Play-CW
Ns in Pennsylvania,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Passenger trains of the X,Mx4rvVjIJZwpEbGdrcN5Y29ycA,Train-TransportationDevice
X competitions in the United States,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Roadside attractions in X,Mx4rwPfOMJwpEbGdrcN5Y29ycA,TouristAttraction
"Actors from X, California",Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
X tenors,Mx4rvq3c4ZwpEbGdrcN5Y29ycA,Tenor-Singer
X from Texas,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X thriller films,Mx4rv4lEQZwpEbGdrcN5Y29ycA,ThrillerMovie
X of Swiss descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Pennsylvania X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
X calligraphers,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
