X villages,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
People with acquired X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Delaware X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
X women film directors,Mx4rvVjqs5wpEbGdrcN5Y29ycA,Director-Movie
Ns science fiction novels,Mx4rvViJb5wpEbGdrcN5Y29ycA,Novel-CW
Philosophers from X,Mx4rvVjuapwpEbGdrcN5Y29ycA,Philosopher
Prime Ministers of the X,Mx4rvVkBhpwpEbGdrcN5Y29ycA,PrimeMinister-HeadOfGovernment
X wicket-keepers,Mx4r7vjP4RuaEd2f4ADggVfexA,Cricketer
"X elections, 1982",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Pharaohs of the X of Egypt,Mx4rwQCWlpwpEbGdrcN5Y29ycA,Pharaoh-HeadOfState
"People from X, Nova Scotia",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Works by John X,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
X of Filipino descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Ns in Pennsylvania,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Roadside attractions in X,Mx4rwPfOMJwpEbGdrcN5Y29ycA,TouristAttraction
"Actors from X, California",Mx4rvVjaHZwpEbGdrcN5Y29ycA,Actor
X tenors,Mx4rvq3c4ZwpEbGdrcN5Y29ycA,Tenor-Singer
X of Swiss descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Pennsylvania X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
X jazz singers,Mx4rvVjiz5wpEbGdrcN5Y29ycA,Singer
"Maryland elections, N",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
"Cities in X, Idaho",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
Mixed martial artists from X,Mx4rwTJaJpwpEbGdrcN5Y29ycA,MartialArtist
"North Carolina elections, N",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
X-language albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Ships transferred from the United States Navy to the X,Mx4rvVirIJwpEbGdrcN5Y29ycA,Ship
X sheriffs,Mx4rRWTpvi9AQdicUZy0P3lKVQ,Sheriff
Finnish X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Aircraft manufactured in X,Mx4rvViuUJwpEbGdrcN5Y29ycA,AirTransportationDevice
"X elections, 2014",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Channel N low-power TV stations in the United States,Mx4rwQCRppwpEbGdrcN5Y29ycA,TelevisionStation
X personnel of World War II,Mx4rvVjvBZwpEbGdrcN5Y29ycA,MilitaryPerson
Conservative parties in X,Mx4rvVj82pwpEbGdrcN5Y29ycA,PoliticalParty
X pop musicians,Mx4rvVisB5wpEbGdrcN5Y29ycA,Musician
Cattle breeds originating in X,Mx4rjnZWUyYfEdaGOQACs0uFOQ,Cattle-DomesticatedTypeByBreed
"Schools in X, Michigan",Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
X hip hop groups,Mx4rvVij7ZwpEbGdrcN5Y29ycA,MusicPerformanceOrganization
"People from X, Western Australia",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X Republicans,Mx4rvhvt4ZwpEbGdrcN5Y29ycA,Republican
X FC seasons,Mx4reRavYrKQEd2AAAAhm0jtOQ,FootballSeason
N Atlantic Coast Conference football season,Mx4rMZF1vrKQEd2AAAAhm0jtOQ,SportSeason
"People from X, Montana",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X justices,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Education in X, Alabama",Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Populated places on the X,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Fire stations completed in N,Mx4rwQCO1pwpEbGdrcN5Y29ycA,FireStation
"People from X, North Dakota",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
N elections in Germany,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
X illustrators,Mx4robUeoyBKEdiRAAACs5b6Bw,Illustrator
X radio personalities,Mx4rvy3DbpwpEbGdrcN5Y29ycA,RadioPersonality
"Cities in X, Wisconsin",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
X players of American football,Mx4rvVjtBpwpEbGdrcN5Y29ycA,FootballPlayer-American
X people of Chinese descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X founders,Mx4rOib6_BlGQdiRA4xXUo_iPA,Founder-Entrepreneur
"People from X, Ontario",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X skiers,Mx4rFOwr9o12QdeYFMVwxtS1ag,SnowSkier
Merchant ships of X,Mx4rvm1tKJwpEbGdrcN5Y29ycA,MerchantMarineShip-Bulk
X classical pianists,Mx4rwQCSB5wpEbGdrcN5Y29ycA,Pianist
"Cities in X, Nebraska",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
X chefs,Mx4rvVj_zZwpEbGdrcN5Y29ycA,Chef
X javelin throwers,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
"Roads in X, Florida",Mx4rvyNjbZwpEbGdrcN5Y29ycA,Roadway
X in Shropshire,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
County routes in X,Mx4rvyNjbZwpEbGdrcN5Y29ycA,Roadway
Railway stations on the X,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
Tributaries of the X River,Mx4rvVkHM5wpEbGdrcN5Y29ycA,River
X atheists,Mx4rvbK69JwpEbGdrcN5Y29ycA,Atheist
X scouts,Mx4ryPJOODDbQdic45ams7ynvA,Scout
Drug-related deaths in X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X jazz musicians,Mx4rvVisB5wpEbGdrcN5Y29ycA,Musician
Airlines disestablished in N,Mx4rvViq7pwpEbGdrcN5Y29ycA,AirlineCompany
"Villages in X, Missouri",Mx4rv33BppwpEbGdrcN5Y29ycA,Village
X orchestras,Mx4rvVjq95wpEbGdrcN5Y29ycA,Orchestra
"Populated places in X, Tennessee",Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Boroughs in X,Mx4row2WOHwNQdeFcucrvFV0yw,Borough
"Cities in X, Iowa",Mx4rvVjnZ5wpEbGdrcN5Y29ycA,City
"Schools in X, Virginia",Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
N animated films,Mx4rvW_VwpwpEbGdrcN5Y29ycA,AnimatedMovie
X non-playing staff,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X rabbis,Mx4rvy3wrJwpEbGdrcN5Y29ycA,Rabbi
"Companies based in X, California",Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
N in Puerto Rico,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
N domestic association football cups,Mx4rwOI75pwpEbGdrcN5Y29ycA,Tournament
Former X stations,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
Treaties entered into force in N,Mx4rwD8ghJwpEbGdrcN5Y29ycA,Treaty
Treaties concluded in N,Mx4rwD8ghJwpEbGdrcN5Y29ycA,Treaty
X male singers,Mx4rvVjiz5wpEbGdrcN5Y29ycA,Singer
"Buildings and structures in X, Virginia",Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
Populated places in the X Local Municipality,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
"California elections, N",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
X companies of the United States,Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
X F.C. matches,Mx4rvVjyf5wpEbGdrcN5Y29ycA,MatchSportsEvent
X Records soundtracks,Mx4rwL5Y-5wpEbGdrcN5Y29ycA,MovieSoundtrack
Motorsport in X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
People from X Department,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Princes of X,Mx4rv10QMJwpEbGdrcN5Y29ycA,Prince
1880s in X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
X saints,Mx4rwQCWO5wpEbGdrcN5Y29ycA,Saint
Earthquakes in X,Mx4rwQBYpZwpEbGdrcN5Y29ycA,Earthquake
Roman Catholic dioceses in X,Mx4rLHhrFCBjEdiNYwACs6hnlQ,Diocese-Catholic
People educated at X Grammar School,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Comprehensive schools in X,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Ns BC deaths,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
