X villages,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
People with acquired X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Delaware X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
X women film directors,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Ns science fiction novels,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Philosophers from X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Prime Ministers of the X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X wicket-keepers,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"X elections, 1982",Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Pharaohs of the X of Egypt,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"People from X, Nova Scotia",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Works by John X,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
X of Filipino descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Ns in Pennsylvania,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Roadside attractions in X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
"Actors from X, California",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X tenors,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X of Swiss descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Pennsylvania X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
X jazz singers,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Maryland elections, N",Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
"Cities in X, Idaho",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mixed martial artists from X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"North Carolina elections, N",Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
X-language albums,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Ships transferred from the United States Navy to the X,Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
X sheriffs,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Finnish X,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Aircraft manufactured in X,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice
"X elections, 2014",Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Channel N low-power TV stations in the United States,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
X personnel of World War II,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Conservative parties in X,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
X pop musicians,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Cattle breeds originating in X,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
"Schools in X, Michigan",Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
X hip hop groups,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
"People from X, Western Australia",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X Republicans,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X FC seasons,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
N Atlantic Coast Conference football season,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
"People from X, Montana",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X justices,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Education in X, Alabama",Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Populated places on the X,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Fire stations completed in N,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
"People from X, North Dakota",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
N elections in Germany,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
X illustrators,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X radio personalities,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Cities in X, Wisconsin",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
X players of American football,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X people of Chinese descent,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X founders,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"People from X, Ontario",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X skiers,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Merchant ships of X,Mx4rvViUcpwpEbGdrcN5Y29ycA,PoweredDevice
X classical pianists,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Cities in X, Nebraska",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
X chefs,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X javelin throwers,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Roads in X, Florida",Mx4rvyNjbZwpEbGdrcN5Y29ycA,Roadway
X in Shropshire,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
County routes in X,Mx4rvyNjbZwpEbGdrcN5Y29ycA,Roadway
Railway stations on the X,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
Tributaries of the X River,Mx4rvVkHdJwpEbGdrcN5Y29ycA,Stream
X atheists,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X scouts,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Drug-related deaths in X,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
X jazz musicians,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
